Mode,Frequency,Wavenumber_cm1,Fiber_Corr_Diag,Harm_Corr_Diag
1,3.23738860881473,647.477721762946,0.0,0.037969164908088805
2,7.109741006804682,1421.9482013609363,0.0,0.03130906219445795
3,7.7476959465844635,1549.5391893168926,0.0,0.04167756887372428
4,8.153702280241776,1630.740456048355,0.0,0.03833912533995297
5,8.601909580194224,1720.3819160388448,0.0,0.03675333581121435
6,8.936743702195137,1787.3487404390276,0.0,0.05270012661204413
7,9.789008163066718,1957.8016326133436,0.0,0.03384164751052414
8,9.929151187727895,1985.830237545579,0.0,0.04471859897791872
9,9.981248819227151,1996.2497638454302,0.0,0.03952014742111528
10,10.48834750118668,2097.6695002373363,0.0,0.042524064732493705
11,10.489144364071937,2097.8288728143875,0.0,0.03393875856705605
12,10.490853600015583,2098.170720003117,0.0,0.033190009105593596
13,10.970964718403252,2194.1929436806504,0.0,0.03887609703661374
14,10.982896119454319,2196.579223890864,0.0,0.05129246960121407
15,10.987352098733561,2197.470419746712,0.0,0.039098104359358066
16,17.706189373783737,3541.2378747567473,0.0,0.03596537969033902
17,17.774805705920024,3554.9611411840046,0.0,0.0434280952601634
18,18.04447110033134,3608.8942200662677,0.0,0.038645598362299916
19,19.92017648460187,3984.035296920374,0.0,0.0424574481791671
20,20.343811020739068,4068.7622041478135,0.0,0.04311698943374125
21,20.451038030219713,4090.2076060439426,0.0,0.14975231578702827
22,20.491624097772423,4098.324819554485,0.0,0.044778995777425876
23,20.498469595495834,4099.693919099167,0.0,0.04096657503740717
24,20.504441271399692,4100.888254279938,0.0,0.04121460458902971
25,20.508873283826517,4101.774656765303,0.0,0.04235380419857836
26,20.51339540977293,4102.679081954586,0.0,0.03513189851921383
27,20.518646026353835,4103.729205270767,0.0,0.04678377343167964
