Galaxy,Config,N_Points,Chi2_Red,M_Disk,R_Disk,R_Theta
DDO154,fast,9,16.562002512906776,1.7274160712180429,3.0810145787981704,49.13505712703531
DDO154,medium,9,16.515560942699068,1.7487240357192113,3.112012221619198,49.31469474121266
DDO154,slow,9,16.534177807950798,1.7445012027741957,3.0998181480742044,49.237436620803535
NGC3198,fast,9,371.03005683551766,22.958529467755945,3.2768388641704402,49.954790117877664
NGC3198,medium,9,370.995338817176,22.964028598271305,3.283472482478829,49.96113710059717
NGC3198,slow,9,371.0139577965437,22.9774671058357,3.282260266978997,49.95762624544285
NGC2403,fast,10,311.3075084070089,9.981193804877943,3.123633256028076,49.93099310559955
NGC2403,medium,10,311.26395005298616,10.048751510397095,3.1327904346479887,49.94228135486663
NGC2403,slow,10,311.25832206049057,10.064066750334149,3.1379591872713894,49.944474844585756
NGC6946,fast,10,701.9828126902825,37.865338883611074,3.1556561198226802,49.97336972579707
NGC6946,medium,10,701.9796873409836,37.85927847288209,3.1597739691637945,49.97390889414514
NGC6946,slow,10,701.9687544435559,37.83633024971674,3.155124476747088,49.974725297495795
NGC7793,fast,10,253.60142433006874,5.942354384280523,2.5283606269014474,49.89614181273255
NGC7793,medium,10,253.53113582622035,5.9486654058247845,2.5244906944968584,49.920663099396535
NGC7793,slow,10,253.5397378696973,5.9561004621593705,2.528358612323104,49.918338758065886
IC2574,fast,9,75.51770281509964,3.627172221900511,3.120600619442274,49.66442525613066
IC2574,medium,9,75.40519041299606,3.5951166814610125,3.0836952515343112,49.74906097157416
IC2574,slow,9,75.36970869573692,3.5684078294066497,3.0702690523425353,49.78257319877247
NGC2841,fast,8,1788.8902660929525,49.87634985531007,2.2808344618768186,49.88772638525154
NGC2841,medium,8,1786.7795162795665,49.977282834134,2.283345681645445,49.971675872428165
NGC2841,slow,8,1786.7731162439893,49.976555168911105,2.283608601123296,49.973146843315085
NGC1560,fast,8,111.2605872848856,5.079890942448881,3.0511607696084004,49.76369274723815
NGC1560,medium,8,111.20465584165977,5.076699124590217,3.0479165801293333,49.798129110801774
NGC1560,slow,8,111.16614627994463,5.069659981082211,3.042388395990199,49.82146246626237
UGC5005,fast,8,27.927758899447362,1.4597655050299785,2.3855492132377965,49.35178181191512
UGC5005,medium,8,27.884336471543463,1.4208851363135557,2.358483031186595,49.408822779375114
UGC5005,slow,8,27.898741381108046,1.4309401056380924,2.3690407128794906,49.388187817093424
F568-3,fast,8,55.947588421897706,2.5231804355209544,2.9939380808680225,49.63250841424467
F568-3,medium,8,55.90712108152236,2.5377973938117684,2.986538369763232,49.662866950802034
F568-3,slow,8,55.91932602495088,2.5517761412614597,2.9960194766096397,49.6520100714277
Malin1,fast,7,285.66878780279296,41.00620693841803,3.6455097205779996,1.3191141064281633
Malin1,medium,7,252.24541624177513,49.01695132981544,3.641625760691462,1.0817443242575617
Malin1,slow,7,322.23596388290446,25.499344932562426,3.8881432425488724,49.887446250647066
DDO43,fast,8,3.049395309758412,0.43472594310149537,2.293025897047882,46.95697530211501
DDO43,medium,8,3.0386638835190363,0.4287044535124589,2.2775106723480194,46.97240118550829
DDO43,slow,8,3.034907484936212,0.42525288501577824,2.261786296539441,46.824193733502014
