galaxy,n_data,v_flat,inc,chi2_baseline,chi2_h1,chi2_h2,chi2_h3,chi2_h4,score_h1,score_h2,score_h3,score_h4,score_best
DDO154,9,44.10,66.00,11.88,11.88,11.47,11.88,11.88,0.00,3.41,0.00,20.00,20.00
DDO43,8,30.10,55.00,8.42,8.42,8.09,8.42,8.42,0.00,3.93,0.00,20.00,20.00
NGC1560,8,85.20,83.00,4.55,4.55,4.31,4.55,4.55,0.00,5.32,0.00,0.00,5.32
IC2574,9,74.50,53.00,7.72,7.72,7.51,7.72,7.72,0.00,2.66,0.00,20.00,20.00
NGC7793,10,122.50,50.00,4.18,4.18,4.16,4.18,4.18,0.00,0.55,0.00,6.82,6.82
NGC2403,10,128.50,63.00,1.11,1.11,1.12,1.11,1.11,0.00,0.00,0.00,0.00,0.00
NGC3198,9,150.10,72.00,22.52,22.52,22.58,22.52,22.52,0.00,0.00,0.00,20.00,20.00
NGC6946,10,215.30,33.00,25.04,25.04,25.07,25.04,25.04,0.00,0.00,0.00,20.00,20.00
NGC2841,8,280.50,74.00,27.27,27.27,27.27,27.27,27.27,0.00,0.00,0.00,20.00,20.00
Malin1,7,120.20,45.00,15.77,15.77,15.99,15.77,15.77,0.00,0.00,0.00,20.00,20.00
F568-3,8,60.20,70.00,3.87,3.87,3.69,3.87,3.87,0.00,4.73,0.00,0.00,4.73
UGC5005,8,55.20,75.00,5.66,5.66,5.58,5.66,5.66,0.00,1.41,0.00,4.57,4.57
