galaxy,n_data,v_flat,M_disk,M_disk_err,R_disk,R_disk_err,M_bulge,M_bulge_err,R_bulge,R_bulge_err,R_theta,R_theta_err,chi2,dof,chi2_red,p_value,AIC,BIC,acceptance_rate,total_steps,fit_quality,elapsed_sec
IC2574,9,74.500000,39981975613.794540,7430941085.979721,13.190220,2.323618,3781347382.506129,1162660729.358244,2.372048,0.381479,50.161347,34.414846,3.332004,4,0.833001,0.503878,13.332004,14.318127,0.491891,2000,excellent,4.093068
UGC5005,8,55.200000,17570343122.589249,7376929878.363736,11.321136,3.662153,2351835256.682848,628847713.691445,1.797523,0.249154,52.515365,33.948725,2.780133,3,0.926711,0.426781,12.780133,13.177340,0.480344,2000,excellent,3.057920
DDO43,8,30.100000,45596818674.845909,39452162384.881485,36.843338,12.401476,939347437.408165,262623739.960929,1.784000,0.281648,53.492110,33.858429,3.396520,3,1.132173,0.334433,13.396520,13.793728,0.392813,100,good,0.666970
DDO154,9,44.100000,42009897488.099060,37335265878.655571,32.487654,14.153142,3228406140.495795,629721852.695572,2.909655,0.364022,47.717529,34.737772,4.552828,4,1.138207,0.336329,14.552828,15.538951,0.397312,2000,good,3.494804
Malin1,7,120.200000,228720953740.037872,50966095542.351654,35.847570,7.241238,45281840245.894875,9847522660.329372,7.615514,0.897225,52.154892,33.957289,2.298283,2,1.149141,0.316909,12.298283,12.027833,0.474437,500,good,1.428425
F568-3,8,60.200000,41133120096.054192,41251811846.059235,22.725136,12.154772,5842074026.709102,1469314856.306300,3.300089,0.416356,50.835391,33.829683,3.970450,3,1.323483,0.264673,13.970450,14.367658,0.418969,2000,good,3.664174
NGC2403,10,128.500000,123613418309.814133,13340431936.609451,14.348005,1.523438,13084841120.991854,2898333494.716241,3.074423,0.292436,58.452481,33.121803,6.722309,5,1.344462,0.242125,16.722309,18.235234,0.492812,100,good,0.929041
NGC7793,10,122.500000,100529491740.236450,8577586144.167213,11.829602,0.977838,7657168343.515954,1468784290.121461,2.175527,0.199161,50.158158,34.431869,10.703409,5,2.140682,0.057588,20.703409,22.216335,0.503875,2000,acceptable,4.052499
NGC1560,8,85.200000,48122804978.151924,8695319304.055153,12.899299,2.522734,6448151258.533449,1886753398.804440,2.551772,0.367223,50.748340,33.986247,6.630974,3,2.210325,0.084638,16.630974,17.028181,0.490656,2000,acceptable,3.952112
NGC3198,9,150.100000,158593154421.386536,8685675920.928345,12.834829,0.686958,16199123488.784132,1698454790.661425,2.097254,0.136874,46.955823,32.540828,20.932889,4,5.233222,0.000327,30.932889,31.919012,0.505625,100,poor,0.873759
NGC6946,10,215.300000,358576464470.156860,16387562203.006378,14.522524,0.681193,35974216322.666740,3077886650.501394,2.603705,0.128583,51.966384,33.684901,29.144696,5,5.828939,0.000022,39.144696,40.657621,0.510000,100,poor,0.643088
NGC2841,8,280.500000,729659291642.193848,27792805786.712463,18.084740,0.722868,85652164305.003723,6157561793.582268,3.093694,0.128870,58.385297,33.964225,20.776295,3,6.925432,0.000117,30.776295,31.173502,0.495625,100,poor,0.634967
