galaxy,n_data,v_flat,M_disk,M_disk_err,R_disk,R_disk_err,M_bulge,M_bulge_err,R_bulge,R_bulge_err,R_theta,R_theta_err,chi2,dof,chi2_red,p_value,AIC,AICc,BIC,waic,waic_lppd,waic_p,nu,sigma_int,acceptance_rate,total_steps,waic_samples,rhat_min,rhat_median,rhat_max,ess_min,ess_median,ess_max,random_seed,fit_quality,model_variant,likelihood,elapsed_sec
DDO43,8,30.100000,11811776780.502048,10427059692.757748,36.525970,11.194349,841540049.686399,530645369.267464,2.125427,0.956937,75.925208,21.670692,5.416649,3,1.805550,0.143710,54.410885,84.410885,54.808093,49.494121,-23.470551,1.276510,5.000000,5.000000,0.390836,8000,20000,1.016102,1.026109,1.100770,866.664380,1587.734956,1908.263521,2746663132,good,GoE+gas,student_t,28.929948
DDO154,9,44.100000,27851163927.205460,20314628356.468155,37.434512,11.721845,3245557391.486730,1122083640.057072,3.040593,0.700646,65.529476,26.526545,7.990607,4,1.997652,0.091923,61.861803,81.861803,62.847926,54.255384,-26.328662,0.799030,5.000000,5.000000,0.417649,4600,20000,1.020430,1.024375,1.028372,1296.330106,1494.663156,1703.840508,2563497448,good,GoE·cos²i(i=66°),student_t,14.343813
Malin1,7,120.200000,65481420119.555359,21482213952.379658,15.554860,9.165061,15476547257.137280,11969860141.640594,6.489111,3.843106,74.677507,22.818496,7.988826,2,3.994413,0.018418,50.767381,110.767381,50.496932,44.680136,-20.990402,1.349666,5.000000,5.000000,0.329680,8000,20000,1.044065,1.047695,1.065199,807.429381,969.664079,1057.384699,3504928810,poor,GoE-baseline,student_t,24.094387
NGC2841,8,280.500000,636227034409.973755,203323035403.183777,18.999833,3.347934,87364860193.287109,29453382194.241699,3.291037,0.558957,41.056981,33.083006,13.587042,3,4.529014,0.003525,62.976220,92.976220,63.373428,61.100649,-26.120391,4.429933,5.000000,5.000000,0.320414,8000,20000,1.081498,1.139391,1.963674,648.860609,987.378603,1179.852043,2933517037,poor,GoE·cos²i(i=74°),student_t,24.374631
F568-3,8,60.200000,51983317670.229752,35688975828.868500,38.177735,11.176507,6623656632.110345,2218562494.576026,3.683996,0.686731,59.603055,28.938474,14.415108,3,4.805036,0.002391,57.364763,87.364763,57.761971,48.858910,-23.459488,0.969967,5.000000,5.000000,0.403558,5200,20000,1.025519,1.028014,1.029262,1301.246386,1381.601574,1762.364635,2679295458,poor,GoE·cos²i(i=70°),student_t,15.988323
IC2574,9,74.500000,32413846684.841660,19964606693.772003,33.921374,13.871997,5346148317.403568,2249779786.168220,3.175332,0.767041,70.948269,24.237171,24.844399,4,6.211100,0.000054,65.799739,85.799739,66.785862,55.752403,-26.698248,1.177954,5.000000,5.000000,0.386750,8000,20000,1.058952,1.095694,1.146480,1348.793101,1576.185644,1786.676945,2628705519,poor,GoE+gas,student_t,26.601529
UGC5005,8,55.200000,73490842308.603195,67072642211.447075,38.489898,11.670895,3705434543.373546,1371695305.361447,2.392113,0.551644,53.143349,31.655286,22.050290,3,7.350097,0.000064,58.975150,88.975150,59.372358,50.966140,-23.924242,1.558827,5.000000,5.000000,0.378172,8000,20000,1.023709,1.029908,1.044285,1513.015701,1669.277576,2110.029195,2984109804,poor,GoE·cos²i(i=75°),student_t,25.059766
NGC6946,10,215.300000,134214149933.240738,106746398095.906311,11.365689,6.012848,24430287587.366199,18899498319.524269,2.797507,2.693222,40.798278,34.879381,99.366285,5,19.873257,0.000000,89.819932,104.819932,91.332858,65.780265,-30.716078,2.174055,5.000000,5.000000,0.266699,8000,20000,1.287706,1.342635,1.617903,510.555405,516.245985,526.033105,3000953582,poor,"GoE-2Rθ(η=0.8,×2.0)",student_t,24.635197
NGC1560,8,85.200000,119423388180.175690,93690473981.646729,37.940668,12.391065,12688892373.750353,4606637139.969812,3.769790,0.693475,40.498423,36.923457,70.095424,3,23.365141,0.000000,69.028692,99.028692,69.425899,53.275113,-24.529746,2.107811,5.000000,5.000000,0.313250,8000,20000,1.053975,1.121087,1.500287,624.803066,1042.489011,1098.747515,2916674794,poor,GoE·cos²i(i=83°),student_t,22.823637
NGC7793,10,122.500000,73035893737.210312,72245759206.128204,29.150356,16.715158,13510249957.337147,7776858190.813383,3.495391,0.817155,34.199822,29.959246,145.201770,5,29.040354,0.000000,91.704227,106.704227,93.217153,63.980250,-30.102976,1.887149,5.000000,5.000000,0.254668,8000,20000,1.084419,1.128904,1.598161,449.996654,537.163913,701.541644,3017535468,poor,GoE·cos²i(i=50°),student_t,22.766468
NGC2403,10,128.500000,130421760514.751343,109707799240.951172,33.525094,13.915689,22119403703.346977,9085351057.411818,4.492339,0.765416,39.567178,31.316572,167.514065,5,33.502813,0.000000,96.088054,111.088054,97.600979,62.406633,-29.647743,1.555573,5.000000,5.000000,0.282062,8000,20000,1.065708,1.087037,1.130480,598.574950,840.525826,958.108361,2933647081,poor,GoE·cos²i(i=63°),student_t,23.345380
NGC3198,9,150.100000,76479832956.404465,70440788576.013153,21.621782,15.208322,16209662918.402973,12453528165.181219,3.328353,1.489771,9.049783,25.441447,140.583561,4,35.145890,0.000000,85.626397,105.626397,86.612520,64.810583,-27.415967,4.989325,5.000000,5.000000,0.187914,8000,20000,1.172661,1.250265,1.414501,414.072643,490.865488,516.705393,2950754278,poor,GoE·cos²i(i=72°),student_t,22.331606
