galaxy,n_data,v_flat,M_disk,M_disk_err,R_disk,R_disk_err,M_bulge,M_bulge_err,R_bulge,R_bulge_err,R_theta,R_theta_err,chi2,dof,chi2_red,p_value,AIC,AICc,BIC,waic,waic_lppd,waic_p,nu,sigma_int,acceptance_rate,total_steps,waic_samples,rhat_min,rhat_median,rhat_max,ess_min,ess_median,ess_max,random_seed,fit_quality,model_variant,likelihood,elapsed_sec
NGC6946,10,215.300000,115870785310.619141,49746986961.017563,8.626976,2.110430,18265408109.070641,7108814594.545785,2.080506,0.317369,37.373373,16.049324,1.735745,5,0.347149,0.884366,57.287053,72.287053,58.799979,58.947149,-25.357090,4.116484,1000.000000,1.000000,0.444633,8000,20000,1.047137,1.079199,1.322022,912.236481,1206.020940,1590.528134,3000953582,excellent,"GoE-Δsat(ρc=5.0e+07,n=1.0)",student_t,30.794398
NGC7793,10,122.500000,36985475193.349503,20164203039.605293,9.184520,2.516082,5883800843.506601,2543163422.702750,2.219081,0.455749,34.874574,20.986295,3.296180,5,0.659236,0.654427,52.410071,67.410071,53.922997,50.217256,-22.547920,2.560708,1000.000000,1.000000,0.336012,8000,20000,1.085585,1.174887,1.602206,576.190202,792.415337,856.064270,3017535468,excellent,GoE-baseline,student_t,24.604797
IC2574,9,74.500000,21845724176.170311,9794773615.320154,12.873398,12.935830,3681672537.924126,1679826510.387657,2.546613,0.592339,55.357978,27.112022,4.861434,4,1.215359,0.301813,50.329455,70.329455,51.315578,46.511108,-20.732744,2.522810,1000.000000,1.000000,0.320191,8000,20000,1.036406,1.049526,1.123502,695.128007,1009.795890,1115.029838,2628705519,good,GoE-baseline,student_t,24.816660
DDO154,9,44.100000,23427044444.667633,19208635936.204807,33.605349,14.151132,2833120318.544771,670485701.473572,2.798977,0.397107,57.184337,28.962576,9.585815,4,2.396454,0.048013,55.439783,75.439783,56.425905,43.747874,-20.578267,1.295670,1000.000000,1.000000,0.370789,8000,20000,1.020946,1.025440,1.030632,1394.435506,1578.782556,1806.056228,2563497448,acceptable,GoE·cos²i(i=66°),student_t,23.832155
Malin1,7,120.200000,64424614623.776848,20978251238.970989,15.725773,6.113051,15081702971.739794,10917995397.966444,5.954481,2.080212,74.694651,24.497793,5.256131,2,2.628066,0.072218,44.616478,104.616478,44.346029,35.342623,-16.479493,1.191818,1000.000000,1.000000,0.324562,8000,20000,1.059748,1.065594,1.125841,640.235477,786.038108,853.376774,3504928810,acceptable,GoE-baseline,student_t,26.084134
DDO43,8,30.100000,8719427336.084026,9857968925.808352,33.583368,15.974881,701443486.427902,387840454.237312,1.791817,2.453587,67.305812,37.954436,9.667709,3,3.222570,0.021613,49.478690,79.478690,49.875897,36.375386,-17.244956,0.942737,1000.000000,1.000000,0.285250,8000,20000,1.189311,1.497710,2.548078,681.364616,771.832379,1277.769712,2746663132,poor,GoE-baseline,student_t,27.986298
NGC2403,10,128.500000,59797030504.769676,33355933549.031078,22.851792,15.424574,13851607771.682901,4012658825.128835,4.176090,0.847243,15.354104,14.838439,17.364308,5,3.472862,0.003858,63.548104,78.548104,65.061029,49.918936,-22.508936,2.450532,1000.000000,1.000000,0.235316,8000,20000,1.061410,1.211159,1.482802,494.082028,594.106188,866.486371,2933647081,poor,GoE·cos²i(i=63°),student_t,25.294877
NGC2841,8,280.500000,540990480714.344727,268670094136.496582,18.033622,2.408097,73815799424.112991,23857894014.379856,3.093876,0.446821,26.640325,32.394223,18.049293,3,6.016431,0.000430,68.397579,98.397579,68.794787,55.185162,-23.148136,4.444445,1000.000000,1.000000,0.241473,8000,20000,1.287717,1.453067,1.824268,330.280391,369.753014,480.531914,2933517037,poor,GoE·cos²i(i=74°),student_t,24.841353
NGC3198,9,150.100000,29874877788.785004,27937843345.775459,12.748616,15.973386,9287183211.285152,3734389596.739776,3.400705,1.417244,3.196272,4.470228,28.098166,4,7.024541,0.000012,72.825240,92.825240,73.811362,47.545655,-21.108889,2.663938,1000.000000,1.000000,0.232734,8000,20000,1.164953,1.228786,2.593262,355.227933,408.692914,724.038186,2950754278,poor,GoE·cos²i(i=72°),student_t,26.244774
F568-3,8,60.200000,34708411327.807846,31148651375.434490,32.472388,14.369558,5468199112.809078,1429003970.043251,3.378175,0.394984,43.377154,31.336483,23.572526,3,7.857509,0.000031,62.147850,92.147850,62.545058,39.392486,-17.946309,1.749934,1000.000000,1.000000,0.320508,8000,20000,1.022895,1.034677,1.051241,834.852271,1219.788824,1610.119461,2679295458,poor,GoE·cos²i(i=70°),student_t,24.364964
NGC1560,8,85.200000,46630510729.156410,16302361087.453873,18.338669,15.502214,7176308745.760754,2241916900.810261,3.192328,1.181938,7.003395,32.150900,37.738200,3,12.579400,0.000000,72.916269,102.916269,73.313476,43.676262,-18.164844,3.673286,1000.000000,1.000000,0.252246,8000,20000,1.055420,1.391437,1.484268,349.449281,411.468953,980.992101,2916674794,poor,GoE·cos²i(i=83°),student_t,26.975727
UGC5005,8,55.200000,23995283395.922676,36066919361.415070,35.715234,16.188395,2367629766.012619,855115580.265081,2.071095,0.301089,15.757176,24.200697,43.844026,3,14.614675,0.000000,79.838877,109.838877,80.236084,41.931603,-18.344204,2.621598,1000.000000,1.000000,0.267359,8000,20000,1.048549,1.120801,1.160937,594.564099,799.392290,878.875482,2984109804,poor,GoE·cos²i(i=75°),student_t,27.405505
