galaxy,chi2_red_gauss,waic_gauss,chi2_red_st5,waic_st5,chi2_red_st25,waic_st25,delta_waic_st5,delta_waic_st25,delta_chi2_st5,delta_chi2_st25,winner
NGC6946,0.347149,58.947149,19.873257,65.780265,10.77846,61.905237,6.833115999999997,2.9580879999999965,19.526107999999997,10.431311,gauss
NGC7793,0.659236,50.217256,29.040354,63.98025,18.520969,57.590272,13.762993999999999,7.373016,28.381118,17.861733,gauss
IC2574,1.215359,46.511108,6.2111,55.752403,9.200852,51.54549,9.241295000000001,5.034382000000001,4.995741,7.985492999999999,gauss
DDO154,2.396454,43.747874,1.997652,54.255384,2.182017,48.339112,10.507509999999996,4.591237999999997,-0.3988019999999999,-0.21443699999999977,gauss
Malin1,2.628066,35.342623,3.994413,44.680136,2.863743,40.227018,9.337512999999994,4.884394999999998,1.3663470000000002,0.23567699999999991,gauss
DDO43,3.22257,36.375386,1.80555,49.494121,0.796668,41.335786,13.118735000000001,4.9604,-1.4170200000000002,-2.4259020000000002,gauss
NGC2403,3.472862,49.918936,33.502813,62.406633,11.743914,56.93047,12.487696999999997,7.0115339999999975,30.029951000000004,8.271052000000001,gauss
NGC2841,6.016431,55.185162,4.529014,61.100649,9.60009,57.47786,5.915486999999999,2.2926980000000015,-1.4874169999999998,3.583659,gauss
NGC3198,7.024541,47.545655,35.14589,64.810583,6.82796,60.880591,17.264927999999998,13.334936000000006,28.121349000000002,-0.19658100000000012,gauss
F568-3,7.857509,39.392486,4.805036,48.85891,5.269319,43.924219,9.466424000000004,4.531733000000003,-3.052473,-2.58819,gauss
NGC1560,12.5794,43.676262,23.365141,53.275113,58.063059,49.301878,9.598850999999996,5.625616000000001,10.785741000000002,45.483659,gauss
UGC5005,14.614675,41.931603,7.350097,50.96614,9.482668,46.827714,9.034537,4.896110999999998,-7.264578,-5.132007,gauss
