galaxy,n_data,chi2_red,chi2,dof,p_value,AIC,BIC,acceptance_rate,elapsed_sec,M_disk_1e10Msun,M_disk_err_1e10Msun,R_disk_kpc,R_disk_err_kpc,M_bulge_1e10Msun,M_bulge_err_1e10Msun,R_bulge_kpc,R_bulge_err_kpc,R_theta_kpc,R_theta_err_kpc
DDO154,9,1.885780,7.543119,4,0.109823,17.543119,18.529242,0.387859,6.434273,0.968705,0.745781,33.142049,14.755798,0.255638,0.058033,2.717144,0.374305,63.899963,26.581056
NGC3198,9,0.285687,1.142749,4,0.887432,11.142749,12.128872,0.459531,6.875020,7.100410,2.928548,9.104793,2.178571,1.126622,0.355387,1.839243,0.251479,50.730975,24.385552
NGC2403,10,0.544184,2.720922,5,0.742917,12.720922,14.233848,0.338047,5.212939,5.573465,2.980556,12.435243,4.865158,1.239068,0.518964,3.331619,0.753117,49.637041,27.437413
NGC6946,10,1.649658,8.248292,5,0.143072,18.248292,19.761218,0.334687,5.372650,10.602088,9.571792,9.932257,2.957818,2.009369,0.807627,2.264191,0.499909,34.601737,30.790960
NGC7793,10,0.918721,4.593607,5,0.467458,14.593607,16.106532,0.269500,7.569860,1.571798,2.544675,9.803967,8.772805,0.682482,0.282464,2.643837,0.843714,18.420262,21.685959
IC2574,9,2.454670,9.818680,4,0.043595,19.818680,20.804803,0.215562,4.626917,0.108864,0.135202,24.699607,19.654699,0.116496,0.126824,7.112767,15.595152,5.273952,4.683117
NGC2841,8,0.118631,0.355893,3,0.949195,10.355893,10.753100,0.451250,5.896859,32.221605,11.268793,13.552625,2.933120,6.623130,2.055361,2.875090,0.436541,66.357484,24.212103
NGC1560,8,1.412087,4.236260,3,0.237057,14.236260,14.633467,0.327656,5.824638,2.092697,1.152429,8.874199,3.536862,0.463099,0.242076,2.419295,0.673430,46.165190,29.055451
UGC5005,8,4.356959,13.070878,3,0.004486,23.070878,23.468086,0.246547,4.209968,1.003180,1.349518,16.107898,19.432408,0.247630,0.079532,2.007183,0.449671,47.087385,32.147872
F568-3,8,3.364637,10.093911,3,0.017784,20.093911,20.491118,0.314609,3.718082,1.328912,1.232280,23.425289,16.055092,0.496269,0.144571,3.336504,0.475123,58.436140,29.297609
Malin1,7,0.382240,0.764480,2,0.682331,10.764480,10.494031,0.455031,4.483383,6.832827,2.314331,13.220060,2.306534,0.353239,0.152218,0.100000,0.000000,66.564019,24.844204
DDO43,8,2.655150,7.965449,3,0.046731,17.965449,18.362657,0.230766,4.108661,0.196738,0.748656,15.320267,20.184119,0.121281,0.658553,2.236658,18.297814,72.429513,22.717784
