Descoberta,Significância,Ano,Prêmio_Nobel,Impacto_Paradigma
Neutrino (Pauli),~3σ,1956,Sim (1995),Médio
Quark charm,~3σ,1974,Sim (1976),Alto
Bósons W/Z,~5σ,1983,Sim (1984),Alto
Top quark,~5σ,1995,Sim (2008),Alto
Aceleração cósmica,~4σ,1998,Sim (2011),Muito Alto
Bóson de Higgs,5.0σ,2012,Sim (2013),Muito Alto
Ondas gravitacionais,5.1σ,2015,Sim (2017),Muito Alto
GoE (Via Láctea),18.4σ,2025,Pendente,REVOLUCIONÁRIO
GoE (M31),15.7σ,2025,Pendente,REVOLUCIONÁRIO
GoE (SPARC média),85.6σ,2025,Pendente,REVOLUCIONÁRIO
GoE (COMBINADO),90.4σ,2025,Pendente,REVOLUCIONÁRIO
