BH,Mass_Msol,Spin,Mass_kg,S_BH,S_GoE,T_H,T_H_GoE,C_std,C_GoE,Stable_GR,Stable_GoE
Maximal Theoretical Limit,270000000000.0,,5.3676e+41,1.0552668659724719e+77,7.993837591136516e+76,2.285752757404205e-19,2.8134600934109344e-19,-1.3070010042417647e+41,1.6087458083866407e+41,False,True
Phoenix A,100000000000.0,,1.9880000000000002e+41,1.4475539999622393e+76,1.0965483664110454e+76,6.171532444991353e-19,7.596342252209523e-19,-1.7928683185758101e+40,2.2067843736442275e+40,False,True
IC 1101,97700000000.0,,1.942276e+41,1.3817322720299556e+76,1.0466872156419683e+76,6.3168192886298385e-19,7.775171189569624e-19,-1.7113448032618486e+40,2.1064396813902497e+40,False,True
4C +74.13,51300000000.0,,1.019844e+41,3.809513386160625e+75,2.8857753704002836e+75,1.2030277670548446e-18,1.4807684702162813e-18,-4.718273625312772e+39,5.807572368275775e+39,False,True
Typical Theoretical Limit,50000000000.0,,9.940000000000001e+40,3.618884999905598e+75,2.7413709160276136e+75,1.2343064889982706e-18,1.5192684504419047e-18,-4.4821707964395254e+39,5.516960934110569e+39,False,True
TON 618,40700000000.0,,8.09116e+40,2.3978587253974483e+75,1.8164214034762314e+75,1.5163470380814135e-18,1.8664231577910377e-18,-2.9698684410376413e+39,3.655516247097923e+39,False,True
S5 0014+81,40000000000.0,,7.952e+40,2.3160863999395813e+75,1.7544773862576716e+75,1.5428831112478383e-18,1.899085563052381e-18,-2.868589309721294e+39,3.5308549978307615e+39,False,True
SDSS J114833...,36310000000.0,,7.218428e+40,1.908478499169615e+75,1.445707020705021e+75,1.6996784480835454e-18,2.092079937265085e-18,-2.3637464563902763e+39,2.909460047440964e+39,False,True
NGC 3842,34600000000.0,,6.87848e+40,1.7329537465947932e+75,1.3127438423326462e+75,1.7836798973963447e-18,2.195474639366914e-18,-2.1463502362662154e+39,2.6418739807519214e+39,False,True
SMSS J215728...,34000000000.0,,6.7592e+40,1.6733724239563478e+75,1.267609911571168e+75,1.815156601468045e-18,2.234218309473389e-18,-2.0725557762736354e+39,2.5510427359327255e+39,False,True
SDSS J102325...,33100000000.0,,6.58028e+40,1.585954637898628e+75,1.2013893557236048e+75,1.8645113126862093e-18,2.2949674477974387e-18,-1.964284458514842e+39,2.4177750276083502e+39,False,True
Abell 1201 BCG,32700000000.0,,6.50076e+40,1.5478550166196221e+75,1.1725282027196662e+75,1.8873187905172335e-18,2.3230404441007717e-18,-1.917096164369927e+39,2.3596924628940345e+39,False,True
H1821+643,30000000000.0,,5.964e+40,1.302798599966015e+75,9.868935297699406e+74,2.0571774816637845e-18,2.532114084069841e-18,-1.613581486718228e+39,1.9861059362798033e+39,False,True
NGC 6166,28400000000.0,,5.64592e+40,1.1675391542095431e+75,8.844320504124924e+74,2.1730748045744197e-18,2.6747683986653245e-18,-1.4460558710305046e+39,1.779904004406487e+39,False,True
4C +37.11,28000000000.0,,5.5664e+40,1.1348823359703951e+75,8.596939192662593e+74,2.2041187303540545e-18,2.712979375789115e-18,-1.4056087617634345e+39,1.7301189489370737e+39,False,True
ESO 383-76,27500000000.0,,5.467e+40,1.094712712471443e+75,8.292647020983527e+74,2.244193616360492e-18,2.7623062735307355e-18,-1.3558566659229558e+39,1.6688806825684462e+39,False,True
2MASS J132603...,27000000000.0,,5.3676e+40,1.0552668659724718e+75,7.993837591136516e+74,2.2857527574042047e-18,2.8134600934109345e-18,-1.3070010042417649e+39,1.6087458083866408e+39,False,True
ESO 444-46,26900000000.0,,5.347720000000001e+40,1.0474645499126754e+75,7.934733634186962e+74,2.2942499795506884e-18,2.823919052865993e-18,-1.2973374440046414e+39,1.5968512406126986e+39,False,True
APM 08279+5255,23000000000.0,,4.5724e+40,7.657560659800244e+74,5.800740858314429e+74,2.683274976083197e-18,3.302757500960662e-18,-9.484273405266034e+38,1.167388933657796e+39,False,True
Holmberg 15A,21600000000.0,,4.29408e+40,6.753707942223821e+74,5.116056058327371e+74,2.857190946755256e-18,3.516825116763668e-18,-8.364806427147295e+38,1.0295973173674502e+39,False,True
NGC 4889,21000000000.0,,4.1748e+40,6.383713139833472e+74,4.835778295872707e+74,2.938824973805406e-18,3.617305834385487e-18,-7.906549284919317e+38,9.731919087771036e+38,False,True
SDSS J074521...,19500000000.0,,3.8766e+40,5.504324084856413e+74,4.169625163277999e+74,3.164888433328899e-18,3.895560129338217e-18,-6.817381781384515e+38,8.39129758078217e+38,False,True
OJ 287 primary,18350000000.0,,3.64798e+40,4.874240017522849e+74,3.692325073088431e+74,3.3632329400497837e-18,4.139696050250421e-18,-6.036991024016429e+38,7.430739512544179e+38,False,True
NGC 1600,17000000000.0,,3.3796e+40,4.1834310598908694e+74,3.16902477892792e+74,3.63031320293609e-18,4.468436618946778e-18,-5.1813894406840885e+38,6.377606839831814e+38,False,True
SDSS J010013...,15800000000.0,,3.14104e+40,3.6136738055057324e+74,2.7374233419085323e+74,3.9060331930325016e-18,4.807811552031344e-18,-4.47571647049265e+38,5.509016510365446e+38,False,True
SDSS J08019...,15100000000.0,,3.00188e+40,3.3005678753138995e+74,2.500239930253823e+74,4.087107579464472e-18,5.030690233251339e-18,-4.0879190531847016e+38,5.031689050346199e+38,False,True
SDSS J115954...,14100000000.0,,2.80308e+40,2.8778821073249263e+74,2.1800478072617982e+74,4.3769733652420945e-18,5.387476774616684e-18,-3.564401504160565e+38,4.3873080132420846e+38,False,True
