BH,Mass_Msol,Spin,Mass_kg,S_BH,S_GoE,T_H,T_H_GoE,C_std,C_GoE,Stable_GR,Stable_GoE
Maximal Theoretical Limit,270000000000.0,,5.3676e+41,1.0552668659724719e+77,7.993837591136515e+76,2.2857527574042053e-19,2.8134600934109344e-19,-1.307001004241765e+41,1.6087458083866409e+41,False,True
Phoenix A,100000000000.0,,1.9880000000000002e+41,1.447553999962239e+76,1.0965483664110453e+76,6.171532444991354e-19,7.596342252209523e-19,-1.79286831857581e+40,2.2067843736442275e+40,False,True
Typical Theoretical Limit,50000000000.0,,9.940000000000001e+40,3.6188849999055976e+75,2.7413709160276136e+75,1.2343064889982708e-18,1.5192684504419048e-18,-4.482170796439524e+39,5.516960934110569e+39,False,True
TON 618,40700000000.0,,8.09116e+40,2.3978587253974483e+75,1.8164214034762314e+75,1.5163470380814137e-18,1.8664231577910377e-18,-2.969868441037641e+39,3.655516247097923e+39,False,True
SDSS J114833...,36310000000.0,,7.218428e+40,1.9084784991696148e+75,1.4457070207050209e+75,1.6996784480835454e-18,2.092079937265085e-18,-2.3637464563902763e+39,2.909460047440964e+39,False,True
Holmberg 15A,21600000000.0,,4.2940799999999997e+40,6.753707942223821e+74,5.116056058327371e+74,2.857190946755256e-18,3.516825116763668e-18,-8.364806427147294e+38,1.02959731736745e+39,False,True
NGC 4889,21000000000.0,,4.1748e+40,6.383713139833472e+74,4.835778295872706e+74,2.9388249738054063e-18,3.617305834385487e-18,-7.906549284919316e+38,9.731919087771036e+38,False,True
SDSS J074521...,19500000000.0,,3.8766e+40,5.504324084856413e+74,4.169625163277999e+74,3.1648884333288993e-18,3.895560129338217e-18,-6.817381781384515e+38,8.39129758078217e+38,False,True
OJ 287 primary,18350000000.0,,3.64798e+40,4.874240017522849e+74,3.692325073088431e+74,3.363232940049784e-18,4.139696050250421e-18,-6.036991024016429e+38,7.430739512544179e+38,False,True
NGC 1600,17000000000.0,,3.3796e+40,4.1834310598908684e+74,3.16902477892792e+74,3.63031320293609e-18,4.468436618946778e-18,-5.1813894406840885e+38,6.377606839831814e+38,False,True
