,M_solar,rho0,gamma_ec,a_min,r_b,R_bounce_m,R_s_m,rho_bounce,inside_horizon,sub_planck,above_nuclear,nontrivial_collapse,score,horizon_margin,planck_margin
75,6500000000.0,2.424e+18,1.000e-01,7.097e-11,1.084e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
76,6500000000.0,2.031e+17,1.000e-01,3.105e-11,2.477e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
77,6500000000.0,1.194e+18,1.000e-01,5.604e-11,1.372e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
78,6500000000.0,1.701e+18,1.000e-01,6.306e-11,1.220e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
79,6500000000.0,4.924e+18,1.000e-01,8.987e-11,8.557e+06,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
80,6500000000.0,7.017e+18,1.000e-01,1.011e-10,7.604e+06,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
81,6500000000.0,1.425e+17,1.000e-01,2.759e-11,2.787e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
82,6500000000.0,4.125e+17,1.000e-01,3.932e-11,1.956e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
83,6500000000.0,8.377e+17,1.000e-01,4.980e-11,1.544e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
84,6500000000.0,3.455e+18,1.000e-01,7.986e-11,9.630e+06,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
85,6500000000.0,1.000e+17,1.000e-01,2.452e-11,3.137e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
86,6500000000.0,2.894e+17,1.000e-01,3.494e-11,2.201e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
87,6500000000.0,5.878e+17,1.000e-01,4.425e-11,1.738e+07,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
88,6500000000.0,1.000e+19,1.000e-01,1.138e-10,6.757e+06,7.691e-04,1.920e+13,6.784e+48,PASS,PASS,PASS,PASS,4,2.496e+16,7.599e+47
89,6500000000.0,1.000e+17,1.425e-01,2.759e-11,3.137e+07,8.654e-04,1.920e+13,4.760e+48,PASS,PASS,PASS,PASS,4,2.218e+16,1.083e+48
60,4000000.0,2.031e+17,1.000e-01,3.105e-11,2.107e+06,6.541e-05,1.181e+10,6.784e+48,PASS,PASS,PASS,PASS,4,1.806e+14,7.599e+47
61,4000000.0,1.425e+17,1.000e-01,2.759e-11,2.371e+06,6.541e-05,1.181e+10,6.784e+48,PASS,PASS,PASS,PASS,4,1.806e+14,7.599e+47
62,4000000.0,2.424e+18,1.000e-01,7.097e-11,9.218e+05,6.541e-05,1.181e+10,6.784e+48,PASS,PASS,PASS,PASS,4,1.806e+14,7.599e+47
63,4000000.0,1.000e+17,1.000e-01,2.452e-11,2.668e+06,6.541e-05,1.181e+10,6.784e+48,PASS,PASS,PASS,PASS,4,1.806e+14,7.599e+47
64,4000000.0,1.194e+18,1.000e-01,5.604e-11,1.167e+06,6.541e-05,1.181e+10,6.784e+48,PASS,PASS,PASS,PASS,4,1.806e+14,7.599e+47
